"id","full_sq","life_sq","floor","max_floor","material","num_room","kitch_sq","product_type","area_m","raion_popul","green_zone_part","indust_part","children_preschool","preschool_quota","preschool_education_centers_raion","children_school","school_quota","school_education_centers_raion","school_education_centers_top_20_raion","healthcare_centers_raion","university_top_20_raion","sport_objects_raion","additional_education_raion","culture_objects_top_25","culture_objects_top_25_raion","shopping_centers_raion","office_raion","thermal_power_plant_raion","incineration_raion","oil_chemistry_raion","radiation_raion","railroad_terminal_raion","big_market_raion","nuclear_reactor_raion","detention_facility_raion","full_all","male_f","female_f","young_all","young_male","young_female","work_all","work_male","work_female","ekder_all","ekder_male","ekder_female","X0_6_all","X0_6_male","X0_6_female","X7_14_all","X7_14_male","X7_14_female","X0_17_all","X0_17_male","X0_17_female","X16_29_all","X16_29_male","X16_29_female","X0_13_all","X0_13_male","X0_13_female","raion_build_count_with_material_info","build_count_block","build_count_wood","build_count_frame","build_count_brick","build_count_monolith","build_count_panel","build_count_foam","build_count_slag","build_count_mix","raion_build_count_with_builddate_info","build_count_before_1920","build_count_1921.1945","build_count_1946.1970","build_count_1971.1995","build_count_after_1995","ID_metro","metro_min_avto","metro_km_avto","metro_min_walk","metro_km_walk","kindergarten_km","school_km","park_km","green_zone_km","industrial_km","water_treatment_km","cemetery_km","incineration_km","railroad_station_walk_km","railroad_station_walk_min","ID_railroad_station_walk","railroad_station_avto_km","railroad_station_avto_min","ID_railroad_station_avto","public_transport_station_km","public_transport_station_min_walk","water_km","water_1line","mkad_km","ttk_km","sadovoe_km","bulvar_ring_km","kremlin_km","big_road1_km","ID_big_road1","big_road1_1line","big_road2_km","ID_big_road2","railroad_km","railroad_1line","zd_vokzaly_avto_km","ID_railroad_terminal","bus_terminal_avto_km","ID_bus_terminal","oil_chemistry_km","nuclear_reactor_km","radiation_km","power_transmission_line_km","thermal_power_plant_km","ts_km","big_market_km","market_shop_km","fitness_km","swim_pool_km","ice_rink_km","stadium_km","basketball_km","hospice_morgue_km","detention_facility_km","public_healthcare_km","university_km","workplaces_km","shopping_centers_km","office_km","additional_education_km","preschool_km","big_church_km","church_synagogue_km","mosque_km","theater_km","museum_km","exhibition_km","catering_km","ecology","green_part_500","prom_part_500","office_count_500","office_sqm_500","trc_count_500","trc_sqm_500","cafe_count_500","cafe_count_500_na_price","cafe_count_500_price_500","cafe_count_500_price_1000","cafe_count_500_price_1500","cafe_count_500_price_2500","cafe_count_500_price_4000","cafe_count_500_price_high","big_church_count_500","church_count_500","mosque_count_500","leisure_count_500","sport_count_500","market_count_500","green_part_1000","prom_part_1000","office_count_1000","office_sqm_1000","trc_count_1000","trc_sqm_1000","cafe_count_1000","cafe_sum_1000_min_price_avg","cafe_sum_1000_max_price_avg","cafe_avg_price_1000","cafe_count_1000_na_price","cafe_count_1000_price_500","cafe_count_1000_price_1000","cafe_count_1000_price_1500","cafe_count_1000_price_2500","cafe_count_1000_price_4000","cafe_count_1000_price_high","big_church_count_1000","church_count_1000","mosque_count_1000","leisure_count_1000","sport_count_1000","market_count_1000","green_part_1500","prom_part_1500","office_count_1500","office_sqm_1500","trc_count_1500","trc_sqm_1500","cafe_count_1500","cafe_sum_1500_min_price_avg","cafe_sum_1500_max_price_avg","cafe_avg_price_1500","cafe_count_1500_na_price","cafe_count_1500_price_500","cafe_count_1500_price_1000","cafe_count_1500_price_1500","cafe_count_1500_price_2500","cafe_count_1500_price_4000","cafe_count_1500_price_high","big_church_count_1500","church_count_1500","mosque_count_1500","leisure_count_1500","sport_count_1500","market_count_1500","green_part_2000","prom_part_2000","office_count_2000","office_sqm_2000","trc_count_2000","trc_sqm_2000","cafe_count_2000","cafe_sum_2000_min_price_avg","cafe_sum_2000_max_price_avg","cafe_avg_price_2000","cafe_count_2000_na_price","cafe_count_2000_price_500","cafe_count_2000_price_1000","cafe_count_2000_price_1500","cafe_count_2000_price_2500","cafe_count_2000_price_4000","cafe_count_2000_price_high","big_church_count_2000","church_count_2000","mosque_count_2000","leisure_count_2000","sport_count_2000","market_count_2000","green_part_3000","prom_part_3000","office_count_3000","office_sqm_3000","trc_count_3000","trc_sqm_3000","cafe_count_3000","cafe_sum_3000_min_price_avg","cafe_sum_3000_max_price_avg","cafe_avg_price_3000","cafe_count_3000_na_price","cafe_count_3000_price_500","cafe_count_3000_price_1000","cafe_count_3000_price_1500","cafe_count_3000_price_2500","cafe_count_3000_price_4000","cafe_count_3000_price_high","big_church_count_3000","church_count_3000","mosque_count_3000","leisure_count_3000","sport_count_3000","market_count_3000","green_part_5000","prom_part_5000","office_count_5000","office_sqm_5000","trc_count_5000","trc_sqm_5000","cafe_count_5000","cafe_sum_5000_min_price_avg","cafe_sum_5000_max_price_avg","cafe_avg_price_5000","cafe_count_5000_na_price","cafe_count_5000_price_500","cafe_count_5000_price_1000","cafe_count_5000_price_1500","cafe_count_5000_price_2500","cafe_count_5000_price_4000","cafe_count_5000_price_high","big_church_count_5000","church_count_5000","mosque_count_5000","leisure_count_5000","sport_count_5000","market_count_5000","price_doc"
3031,41,26,3,6.83039891008157,1.74554995453714,1.78206976397813,5.70342990786723,"Investment",8287309.439,125354,0.071119749,0.265088676,5797,3390,4,5288,5631,5,0,3,0,6,4,"no",0,2,0,"no","no","no","yes","no","no","no","no",145576,65638,79938,11908,6279,5629,84387,41774,42613,29059,8516,20543,5797,3052,2745,5288,2801,2487,13804,7230,6574,33117,13741,19376,10338,5468,4870,341,129,0,0,54,4,154,0,0,0,341,1,0,252,75,13,28,2.940711704,2.123664532,14.8896772,1.240806433,0.237939817,0.737261113,0.827321584,0.164187857,0.471269424,3.256107,0.944683,3.243746,1.886759792,22.64111751,29,2.05812758,2.858790505,82,0.132170988,1.586051851,1.082438695,"no",6.057072307,8.247625328,11.37080433,13.00484346,13.51561718,2.273264065,2,"no",5.92583416,31,1.204001393,"no",13.92018829,32,5.039701239,12,9.887786845,2.305839819,0.590073566,0.539309973,5.907021398,0.707438233,9.720155535,2.733192998,0.265241073,6.531779702,11.2261679,3.677908094,2.23072602,1.006291732,10.82065523,0.85986056,4.303931815,2.224358848,0.978070131,1.298686805,0.573120575,0.737261113,2.119686303,1.293855436,3.208640074,9.051296923,2.015428004,3.649765099,0.502447812,"poor",13.28,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6.56,19.16,0,0,1,5500,6,916.67,1500,1208.33,0,0,2,3,1,0,0,0,0,0,0,5,0,6.35,23.03,1,44000,2,11400,12,736.36,1227.27,981.82,1,2,4,4,1,0,0,0,1,0,0,5,2,12.13,25.18,1,44000,3,11520,13,736.36,1227.27,981.82,2,2,4,4,1,0,0,0,3,0,0,7,2,17.94,25.58,8,374362,10,314135,27,682.61,1173.91,928.26,4,4,11,6,2,0,0,1,8,0,1,18,4,18.46,19.16,22,1009961,44,1449964,153,646.48,1098.59,872.54,11,51,48,28,13,2,0,8,28,1,9,47,14,6450000
3032,59,43,6.88094860859643,13.6837667904885,1.22688370897874,1.27701676124065,7.50782596949632,"Investment",4602089.659,130229,0.114157061,0,8450,3909,4,8647,8294,5,0,0,0,5,1,"no",0,5,0,"no","no","no","no","no","no","no","yes",48439,21571,26868,18221,9702,8519,82231,41640,40591,29777,9277,20500,8450,4485,3965,8647,4620,4027,20294,10750,9544,10403,4913,5490,16051,8543,7508,160,25,0,0,0,1,134,0,0,0,160,0,0,0,149,11,96,1.559554054,0.880776456,10.56931748,0.880776456,0.222020212,0.575135421,0.306172124,0.106490463,2.044177983,4.138291,0.641725,7.263779,5.392946453,64.71535743,16,5.367699168,7.28909638,27,0.036572944,0.438875322,0.198800295,"no",2.722686311,9.761871901,13.07033889,14.6027379,15.31272475,2.722686296,1,"no",4.000805766,23,3.348854654,"no",17.61424958,5,1.851580907,6,4.776533183,4.401877712,0.739283505,0.820904044,4.735563969,6.096934212,3.624735585,1.690373274,0.043255053,2.547816813,3.030477603,6.881327374,4.856627781,2.027534253,0.713962131,3.264631241,0.991401465,2.35489887,0.69018264,2.029953297,0.463228935,0.575135421,0.777152655,0.776651357,8.124796424,11.78762975,4.090671714,4.013489671,0.386199644,"excellent",17.9,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,20.31,0,0,0,1,16000,4,700,1250,975,0,1,2,0,1,0,0,1,1,0,0,5,0,20.77,0,0,0,6,79767,5,620,1100,860,0,2,2,0,1,0,0,2,1,0,0,9,1,21.55,0,0,0,11,288909,20,566.67,1000,783.33,5,5,7,2,1,0,0,3,3,0,0,15,2,21.86,1.04,3,57200,21,659453,66,633.33,1075,854.17,6,20,22,14,3,1,0,5,9,0,0,27,7,17.38,10.11,7,277523,39,1758966,118,659.05,1114.29,886.67,13,34,37,25,7,2,0,8,18,0,2,48,11,8500000
3200,57,38,1,8.56240532468837,1.61349970146201,1.91595625774766,6.07529848372778,"Investment",14286990.83,157010,0.389353565,0.194489265,7751,5041,6,8004,11081,7,0,3,0,5,3,"no",0,5,3,"no","no","no","yes","no","no","no","no",12327,5588,6739,16831,8637,8194,98260,47405,50855,41919,12424,29495,7751,3941,3810,8004,4152,3852,18912,9716,9196,2780,1351,1429,14694,7551,7143,371,88,0,0,68,8,207,0,0,0,371,0,1,221,129,20,20,0.792831358,0.634265072,7.61118086,0.634265072,0.246079778,0.4811311,1.413197559,0.400289361,0.325449873,16.57593,1.790092,13.6748,5.21860483,62.62325796,18,5.026421492,5.980328709,18,0.013343138,0.160117651,0.549828496,"no",2.371520715,8.456736415,10.61954772,11.36551035,13.1625307,2.209678768,12,"no",2.232325389,41,1.193788846,"no",10.5751527,97,0.563541053,7,7.386471267,17.03612532,1.212087206,2.123752248,1.853366786,8.34188932,14.72141913,0.504157348,0.28059321,1.532828583,4.347870474,4.902353636,2.112141942,1.981349182,8.921191891,0.803715179,1.904363655,0.4811311,1.224018671,1.309439044,0.904803959,0.4811311,1.01827468,1.016982157,9.050228271,8.098825728,7.429278614,3.316295303,0.279003666,"good",2.54,4.79,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,15.17,13.47,0,0,0,0,3,600,1000,800,0,1,1,1,0,0,0,0,0,0,0,2,2,16.64,16.75,1,2200,3,40464,13,684.62,1115.38,900,0,3,4,6,0,0,0,1,1,0,0,6,2,20.11,17.06,3,11300,4,61032,23,627.27,1045.45,836.36,1,6,8,8,0,0,0,1,3,0,0,9,3,23.6,13.88,8,266300,10,464476,48,652.27,1102.27,877.27,4,14,16,11,2,1,0,3,5,0,0,22,5,40.56,9.26,11,300476,18,556166,80,666.22,1121.62,893.92,6,26,24,17,5,2,0,6,12,0,2,40,5,1000000
3206,34,19,4,10.792283077125,1.81420705928655,1.45050935806836,6.86646156150467,"Investment",4808269.831,101708,0.112559644,0.118537385,5879,1463,4,6207,5580,7,0,1,0,5,1,"no",0,0,1,"no","no","no","yes","no","no","no","no",101982,46076,55906,13028,6835,6193,63388,31813,31575,25292,7609,17683,5879,3095,2784,6207,3269,2938,14884,7821,7063,19401,9045,10356,11252,5916,5336,330,59,0,0,206,4,60,0,1,0,330,1,0,246,63,20,3,2.021711781,1.53461829,18.41541948,1.53461829,0.182263404,0.323995907,1.007410139,0.034519772,0.588482334,6.099598,3.35999,11.58489,1.906913124,22.88295749,3,2.089857158,2.684709317,3,0.287997765,3.455973181,1.05329209,"no",5.544507684,2.366111841,6.547215224,7.524404603,8.676258839,0.641616129,3,"no",2.366111821,4,0.588482334,"no",9.62393662,5,5.744350708,3,4.47756831,8.751246953,0.251810199,1.305135611,3.323760576,2.433402572,5.835760492,0.939149521,1.203428896,2.128211343,2.063221514,3.008235788,1.530034208,0.645002808,7.765695116,3.376474204,2.884882276,0.397410867,1.491359338,1.322290548,1.332587605,0.323995907,2.126331061,1.914606064,7.645880494,3.307248708,3.496097394,4.647842941,0.468784551,"poor",12.72,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.52,15.82,0,0,0,0,3,500,1000,750,0,0,3,0,0,0,0,0,0,0,0,1,1,4.12,28.96,2,29900,1,2250,11,560,1000,780,1,2,6,2,0,0,0,0,0,0,0,4,3,2.87,30.66,5,90900,7,260156,31,751.72,1275.86,1013.79,2,6,12,7,3,1,0,0,1,0,0,13,4,8.95,29.14,13,401700,10,353256,49,682.22,1155.56,918.89,4,14,16,10,4,1,0,1,7,0,1,23,7,13.23,23.03,50,1211901,33,1483525,135,693.7,1177.17,935.43,8,32,51,32,9,3,0,12,25,0,4,82,17,6400000
3234,37,18,5,14.2374439020909,1.48605785785167,2.22058010234714,9.17428695080272,"Investment",3292112.223,73148,0.063747248,0.092290642,4449,2757,5,4346,7327,5,0,1,0,3,2,"no",0,2,2,"no","no","no","no","no","no","no","no",41504,18905,22599,9308,4847,4461,44449,22170,22279,19391,5955,13436,4449,2281,2168,4346,2283,2063,10271,5360,4911,9620,4575,5045,8322,4322,4000,222,97,0,0,4,13,108,0,0,0,222,0,0,144,25,53,40,3.022144499,1.479102575,17.7492309,1.479102575,0.139287909,0.253362347,2.184670047,0.565450733,0.688702747,22.26933,3.336327,1.377443,2.197314819,26.36777783,45,2.197314819,3.277188485,45,0.099525048,1.194300582,1.702649838,"no",4.270716252,8.790026176,11.21695732,11.8245926,13.30705295,0.741116669,5,"no",4.082404264,36,0.688702747,"no",9.736113307,121,12.58147926,5,18.06279339,2.810822158,2.278388864,2.215455153,3.994840248,2.990142484,15.48992976,2.672322099,0.453379016,2.836908083,5.955770363,5.840446407,2.157762399,2.54962686,8.450706416,2.327661315,2.197091543,0.794782453,0.973928321,1.465774494,0.93100838,0.253362347,1.654637428,1.458809553,2.558176875,9.001859298,6.105079673,5.229421119,0.470290292,"poor",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6.67,7.89,0,0,1,13000,6,666.67,1166.67,916.67,0,0,4,2,0,0,0,0,0,0,0,1,0,5.42,19.47,3,161000,4,87000,21,905,1475,1190,1,2,7,9,0,2,0,0,1,0,0,5,0,6.69,27.58,8,315500,11,354983,38,972.22,1583.33,1277.78,2,5,10,14,3,4,0,1,2,0,0,11,0,7.71,29.37,21,488977,21,620263,83,794.74,1335.53,1065.13,7,13,31,22,6,4,0,4,13,1,0,27,3,15.79,21.72,42,965758,45,1416392,182,682.63,1152.69,917.66,15,45,64,45,9,4,0,13,26,1,0,75,5,6150000
3261,31,19,5,7.66698088252468,1.93277857959325,1.53632697550465,6.02610422582371,"Investment",8287309.439,125354,0.071119749,0.265088676,5797,3390,4,5288,5631,5,0,3,0,6,4,"no",0,2,0,"no","no","no","yes","no","no","no","no",145576,65638,79938,11908,6279,5629,84387,41774,42613,29059,8516,20543,5797,3052,2745,5288,2801,2487,13804,7230,6574,33117,13741,19376,10338,5468,4870,341,129,0,0,54,4,154,0,0,0,341,1,0,252,75,13,28,3.030966626,1.403023581,12.54948429,1.045790357,0.381506595,0.300484238,1.706539994,0.41829309,1.035555118,2.276327,1.952826,4.234796,2.483690653,29.80428784,29,2.733106351,5.097741946,29,0.159080228,1.908962741,1.01041167,"no",6.327745985,7.488316776,10.71606866,12.42304832,12.89790844,2.898679326,2,"no",6.019939565,23,1.281124848,"no",12.98007943,32,5.44701389,12,9.072908541,1.274757135,0.747770268,0.839079548,6.850396041,1.501580203,6.949750204,2.479124717,0.610362861,4.794133946,7.647923257,4.085220745,2.974793982,1.379207086,8.774790024,1.326542323,3.869942177,2.954121984,0.648008701,1.351512377,0.220300825,0.300484238,2.3425857,0.590917,3.383226701,8.111188066,2.260325057,3.066664878,0.301286953,"poor",1.48,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,2,5620,8,637.5,1062.5,850,0,2,3,3,0,0,0,0,1,0,0,6,0,8.85,6.71,1,44000,2,5620,12,581.82,1000,790.91,1,3,5,3,0,0,0,0,2,0,0,7,0,11.41,14.43,2,199000,4,15035,17,660,1133.33,896.67,2,3,7,4,1,0,0,0,5,0,0,10,2,19.5,23.51,6,236800,7,122035,25,781.82,1340.91,1061.36,3,4,10,4,3,1,0,1,10,0,1,14,4,16.85,20.19,23,1047314,45,1677146,163,652.98,1112.58,882.78,12,52,54,29,13,3,0,7,27,1,9,60,15,300000
3272,65,23.815428356898,9,15.9516615295064,1.08023250901945,1.35565984174923,8.65733753847092,"OwnerOccupier",7632939.805,78810,0.051843748,0.43788524,5519,1503,3,5735,5782,3,0,0,0,3,2,"no",0,5,3,"no","no","no","yes","no","no","no","no",87713,41288,46425,11996,6185,5811,51138,25535,25603,15676,4371,11305,5519,2775,2744,5735,3043,2692,13390,6903,6487,17236,8896,8340,10557,5442,5115,212,55,11,0,28,12,105,0,1,0,213,1,2,95,58,57,12,2.894450709,2.159295482,25.9519022,2.162658516,0.283116129,0.431915194,0.581198967,0.481167694,0.385529845,18.12757,1.055663,5.684923,4.834340536,58.01208643,12,3.649727978,4.944556905,128,0.162834151,1.954009817,1.474372272,"no",1.036283143,11.02826741,13.7989831,14.46995561,15.86904434,0.57643715,8,"no",1.03628316,1,0.064325275,"yes",14.77844235,121,14.61399734,1,21.90448597,2.38366234,0.71814572,0.615978155,1.722815181,1.572188929,15.77373912,4.034558663,0.989110339,4.923135324,2.767999531,9.304030627,3.359918848,2.054232559,8.051056692,4.048265725,4.952441961,3.232351877,0.529696233,0.83775953,0.472992697,0.431915194,0.737505885,0.738341701,6.862579024,19.01261416,9.823983253,5.070235075,1.006034027,"satisfactory",0.11,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,28.59,1,6957,2,8499,0,752.752967158045,1256.48176628162,1004.6172548581,0,0,0,0,0,0,0,1,1,0,0,1,0,14.24,27.46,1,6957,3,70099,10,700,1166.67,933.33,1,1,4,4,0,0,0,1,1,0,0,5,0,13.13,21.76,1,6957,7,156099,11,700,1166.67,933.33,2,1,4,4,0,0,0,2,2,0,0,8,0,12.8,15.73,3,30257,13,283539,50,684.09,1147.73,915.91,6,12,16,13,2,1,0,6,7,0,0,18,1,14.78,14.96,26,807758,36,1205497,142,715.04,1203.01,959.02,9,32,50,38,10,3,0,10,9,0,0,38,4,4738811
3285,36,14,9,15.953160224642,1.0819399055877,1.33447963225399,8.59949200623763,"OwnerOccupier",7632939.805,78810,0.051843748,0.43788524,5519,1503,3,5735,5782,3,0,0,0,3,2,"no",0,5,3,"no","no","no","yes","no","no","no","no",87713,41288,46425,11996,6185,5811,51138,25535,25603,15676,4371,11305,5519,2775,2744,5735,3043,2692,13390,6903,6487,17236,8896,8340,10557,5442,5115,212,55,11,0,28,12,105,0,1,0,213,1,2,95,58,57,12,2.894450709,2.159295482,25.9519022,2.162658516,0.283116129,0.431915194,0.581198967,0.481167694,0.385529845,18.12757,1.055663,5.684923,4.834340536,58.01208643,12,3.649727978,4.944556905,128,0.162834151,1.954009817,1.474372272,"no",1.036283143,11.02826741,13.7989831,14.46995561,15.86904434,0.57643715,8,"no",1.03628316,1,0.064325275,"yes",14.77844235,121,14.61399734,1,21.90448597,2.38366234,0.71814572,0.615978155,1.722815181,1.572188929,15.77373912,4.034558663,0.989110339,4.923135324,2.767999531,9.304030627,3.359918848,2.054232559,8.051056692,4.048265725,4.952441961,3.232351877,0.529696233,0.83775953,0.472992697,0.431915194,0.737505885,0.738341701,6.862579024,19.01261416,9.823983253,5.070235075,1.006034027,"satisfactory",0.11,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,28.59,1,6957,2,8499,0,752.630844357893,1256.27288137232,1004.45175360618,0,0,0,0,0,0,0,1,1,0,0,1,0,14.24,27.46,1,6957,3,70099,10,700,1166.67,933.33,1,1,4,4,0,0,0,1,1,0,0,5,0,13.13,21.76,1,6957,7,156099,11,700,1166.67,933.33,2,1,4,4,0,0,0,2,2,0,0,8,0,12.8,15.73,3,30257,13,283539,50,684.09,1147.73,915.91,6,12,16,13,2,1,0,6,7,0,0,18,1,14.78,14.96,26,807758,36,1205497,142,715.04,1203.01,959.02,9,32,50,38,10,3,0,10,9,0,0,38,4,3112727
3294,59,57,8,15.9496018582375,1.0831616805957,1.37114976278599,8.6680693169299,"OwnerOccupier",7632939.805,78810,0.051843748,0.43788524,5519,1503,3,5735,5782,3,0,0,0,3,2,"no",0,5,3,"no","no","no","yes","no","no","no","no",87713,41288,46425,11996,6185,5811,51138,25535,25603,15676,4371,11305,5519,2775,2744,5735,3043,2692,13390,6903,6487,17236,8896,8340,10557,5442,5115,212,55,11,0,28,12,105,0,1,0,213,1,2,95,58,57,12,2.894450709,2.159295482,25.9519022,2.162658516,0.283116129,0.431915194,0.581198967,0.481167694,0.385529845,18.12757,1.055663,5.684923,4.834340536,58.01208643,12,3.649727978,4.944556905,128,0.162834151,1.954009817,1.474372272,"no",1.036283143,11.02826741,13.7989831,14.46995561,15.86904434,0.57643715,8,"no",1.03628316,1,0.064325275,"yes",14.77844235,121,14.61399734,1,21.90448597,2.38366234,0.71814572,0.615978155,1.722815181,1.572188929,15.77373912,4.034558663,0.989110339,4.923135324,2.767999531,9.304030627,3.359918848,2.054232559,8.051056692,4.048265725,4.952441961,3.232351877,0.529696233,0.83775953,0.472992697,0.431915194,0.737505885,0.738341701,6.862579024,19.01261416,9.823983253,5.070235075,1.006034027,"satisfactory",0.11,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,28.59,1,6957,2,8499,0,752.797322588215,1256.61029587655,1004.70369484547,0,0,0,0,0,0,0,1,1,0,0,1,0,14.24,27.46,1,6957,3,70099,10,700,1166.67,933.33,1,1,4,4,0,0,0,1,1,0,0,5,0,13.13,21.76,1,6957,7,156099,11,700,1166.67,933.33,2,1,4,4,0,0,0,2,2,0,0,8,0,12.8,15.73,3,30257,13,283539,50,684.09,1147.73,915.91,6,12,16,13,2,1,0,6,7,0,0,18,1,14.78,14.96,26,807758,36,1205497,142,715.04,1203.01,959.02,9,32,50,38,10,3,0,10,9,0,0,38,4,4419429
3321,34,34,16,15.9610302520297,1.07261324647273,1.24671587288729,8.44916551309511,"OwnerOccupier",7632939.805,78810,0.051843748,0.43788524,5519,1503,3,5735,5782,3,0,0,0,3,2,"no",0,5,3,"no","no","no","yes","no","no","no","no",87713,41288,46425,11996,6185,5811,51138,25535,25603,15676,4371,11305,5519,2775,2744,5735,3043,2692,13390,6903,6487,17236,8896,8340,10557,5442,5115,212,55,11,0,28,12,105,0,1,0,213,1,2,95,58,57,12,2.894450709,2.159295482,25.9519022,2.162658516,0.283116129,0.431915194,0.581198967,0.481167694,0.385529845,18.12757,1.055663,5.684923,4.834340536,58.01208643,12,3.649727978,4.944556905,128,0.162834151,1.954009817,1.474372272,"no",1.036283143,11.02826741,13.7989831,14.46995561,15.86904434,0.57643715,8,"no",1.03628316,1,0.064325275,"yes",14.77844235,121,14.61399734,1,21.90448597,2.38366234,0.71814572,0.615978155,1.722815181,1.572188929,15.77373912,4.034558663,0.989110339,4.923135324,2.767999531,9.304030627,3.359918848,2.054232559,8.051056692,4.048265725,4.952441961,3.232351877,0.529696233,0.83775953,0.472992697,0.431915194,0.737505885,0.738341701,6.862579024,19.01261416,9.823983253,5.070235075,1.006034027,"satisfactory",0.11,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,28.59,1,6957,2,8499,0,752.697047457403,1256.30507199764,1004.50095148895,0,0,0,0,0,0,0,1,1,0,0,1,0,14.24,27.46,1,6957,3,70099,10,700,1166.67,933.33,1,1,4,4,0,0,0,1,1,0,0,5,0,13.13,21.76,1,6957,7,156099,11,700,1166.67,933.33,2,1,4,4,0,0,0,2,2,0,0,8,0,12.8,15.73,3,30257,13,283539,50,684.09,1147.73,915.91,6,12,16,13,2,1,0,6,7,0,0,18,1,14.78,14.96,26,807758,36,1205497,142,715.04,1203.01,959.02,9,32,50,38,10,3,0,10,9,0,0,38,4,3024938
3342,48,29,7,10.1282619176214,1.49092658700418,1.52743066595588,6.78231357231068,"Investment",14286990.83,157010,0.389353565,0.194489265,7751,5041,6,8004,11081,7,0,3,0,5,3,"no",0,5,3,"no","no","no","yes","no","no","no","no",12327,5588,6739,16831,8637,8194,98260,47405,50855,41919,12424,29495,7751,3941,3810,8004,4152,3852,18912,9716,9196,2780,1351,1429,14694,7551,7143,371,88,0,0,68,8,207,0,0,0,371,0,1,221,129,20,20,3.803702932,2.505651873,30.06782248,2.505651873,0.20779384,0.210801824,0.058749346,0.263340632,0.630167294,16.73995,0.76241,13.71034,7.089991631,85.07989957,18,7.911580436,8.270939227,136,0.049343456,0.592121467,0.402350694,"no",0.978030186,9.876058338,12.03619122,12.78041191,14.57834636,0.978030181,1,"no",1.566071336,12,2.205605595,"no",12.44653951,97,2.434927854,7,8.598259254,17.98685256,2.342793468,2.993503009,2.95350298,8.984456378,13.11940326,2.375544149,0.446171414,3.404215384,6.219257275,6.773740438,3.329351195,2.833175281,10.79257869,1.489376377,3.775750456,1.40038889,1.022195993,1.71176376,0.167377522,0.210801824,0.618864841,0.624049895,8.319274789,12.14502294,8.219958313,4.668237556,0.448736108,"good",6.75,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,18.93,3.6,0,0,0,0,4,366.67,666.67,516.67,1,2,1,0,0,0,0,1,1,0,0,1,0,25.15,1.6,0,0,1,320000,5,400,750,575,1,2,2,0,0,0,0,2,1,0,0,3,0,25.45,3.2,1,140000,3,380110,9,462.5,812.5,637.5,1,4,3,1,0,0,0,2,1,0,0,4,2,28.32,8.93,4,179700,7,441142,23,604.55,1022.73,813.64,1,6,9,7,0,0,0,3,2,0,0,12,2,35.15,8.9,10,280476,12,469476,54,656,1110,883,4,16,18,12,3,1,0,5,8,0,1,29,5,6600000
3398,54,24.0759871508926,7,15.950575648581,1.08319543884271,1.37445455452847,8.6764280424052,"OwnerOccupier",7632939.805,78810,0.051843748,0.43788524,5519,1503,3,5735,5782,3,0,0,0,3,2,"no",0,5,3,"no","no","no","yes","no","no","no","no",87713,41288,46425,11996,6185,5811,51138,25535,25603,15676,4371,11305,5519,2775,2744,5735,3043,2692,13390,6903,6487,17236,8896,8340,10557,5442,5115,212,55,11,0,28,12,105,0,1,0,213,1,2,95,58,57,12,2.894450709,2.159295482,25.9519022,2.162658516,0.283116129,0.431915194,0.581198967,0.481167694,0.385529845,18.12757,1.055663,5.684923,4.834340536,58.01208643,12,3.649727978,4.944556905,128,0.162834151,1.954009817,1.474372272,"no",1.036283143,11.02826741,13.7989831,14.46995561,15.86904434,0.57643715,8,"no",1.03628316,1,0.064325275,"yes",14.77844235,121,14.61399734,1,21.90448597,2.38366234,0.71814572,0.615978155,1.722815181,1.572188929,15.77373912,4.034558663,0.989110339,4.923135324,2.767999531,9.304030627,3.359918848,2.054232559,8.051056692,4.048265725,4.952441961,3.232351877,0.529696233,0.83775953,0.472992697,0.431915194,0.737505885,0.738341701,6.862579024,19.01261416,9.823983253,5.070235075,1.006034027,"satisfactory",0.11,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,28.59,1,6957,2,8499,0,752.645325847937,1256.34095990774,1004.49303201103,0,0,0,0,0,0,0,1,1,0,0,1,0,14.24,27.46,1,6957,3,70099,10,700,1166.67,933.33,1,1,4,4,0,0,0,1,1,0,0,5,0,13.13,21.76,1,6957,7,156099,11,700,1166.67,933.33,2,1,4,4,0,0,0,2,2,0,0,8,0,12.8,15.73,3,30257,13,283539,50,684.09,1147.73,915.91,6,12,16,13,2,1,0,6,7,0,0,18,1,14.78,14.96,26,807758,36,1205497,142,715.04,1203.01,959.02,9,32,50,38,10,3,0,10,9,0,0,38,4,4110024
